nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_003075	NA	turquoise
Tsubulata_003091	NA	turquoise
Tsubulata_003109	NA	turquoise
Tsubulata_003116	NA	turquoise
Tsubulata_003120	NA	turquoise
Tsubulata_003126	NA	turquoise
Tsubulata_003129	NA	magenta
Tsubulata_003131	NA	turquoise
Tsubulata_003133	NA	turquoise
Tsubulata_003139	NA	turquoise
Tsubulata_003150	NA	turquoise
Tsubulata_003159	NA	turquoise
Tsubulata_003168	NA	turquoise
Tsubulata_003171	NA	turquoise
Tsubulata_003175	NA	turquoise
Tsubulata_003191	NA	turquoise
Tsubulata_003199	NA	turquoise
Tsubulata_003222	NA	turquoise
Tsubulata_003223	NA	turquoise
Tsubulata_003234	NA	magenta
Tsubulata_003252	NA	turquoise
Tsubulata_003260	NA	turquoise
Tsubulata_003281	NA	turquoise
Tsubulata_003287	NA	turquoise
Tsubulata_003300	NA	turquoise
Tsubulata_003301	NA	turquoise
Tsubulata_003309	NA	magenta
Tsubulata_003327	NA	turquoise
Tsubulata_003343	NA	turquoise
Tsubulata_003350	NA	turquoise
Tsubulata_003354	NA	turquoise
Tsubulata_003357	NA	turquoise
Tsubulata_003369	NA	turquoise
Tsubulata_003438	NA	turquoise
Tsubulata_003444	NA	magenta
Tsubulata_003447	NA	turquoise
Tsubulata_003465	NA	magenta
Tsubulata_003472	NA	turquoise
Tsubulata_003478	NA	turquoise
Tsubulata_003503	NA	magenta
Tsubulata_003549	NA	turquoise
Tsubulata_003551	NA	turquoise
Tsubulata_003553	NA	turquoise
Tsubulata_003566	NA	turquoise
Tsubulata_003567	NA	turquoise
Tsubulata_003570	NA	turquoise
Tsubulata_003589	NA	turquoise
Tsubulata_003592	NA	turquoise
Tsubulata_003600	NA	turquoise
Tsubulata_003619	NA	turquoise
Tsubulata_003625	NA	turquoise
Tsubulata_003626	NA	turquoise
Tsubulata_003656	NA	turquoise
Tsubulata_003663	NA	turquoise
Tsubulata_003665	NA	turquoise
Tsubulata_003684	NA	turquoise
Tsubulata_003691	NA	turquoise
Tsubulata_003695	NA	turquoise
Tsubulata_003705	NA	turquoise
Tsubulata_003727	NA	turquoise
Tsubulata_003737	NA	turquoise
Tsubulata_003740	NA	turquoise
Tsubulata_003758	NA	turquoise
Tsubulata_003768	NA	turquoise
Tsubulata_003783	NA	turquoise
Tsubulata_003794	NA	turquoise
Tsubulata_003825	NA	turquoise
Tsubulata_003832	NA	turquoise
Tsubulata_003833	NA	turquoise
Tsubulata_003844	NA	turquoise
Tsubulata_003867	NA	turquoise
Tsubulata_003878	NA	turquoise
Tsubulata_003939	NA	turquoise
Tsubulata_003941	NA	turquoise
Tsubulata_003950	NA	turquoise
Tsubulata_003952	NA	turquoise
Tsubulata_003959	NA	turquoise
Tsubulata_003977	NA	turquoise
Tsubulata_003980	NA	turquoise
Tsubulata_004042	NA	magenta
Tsubulata_004044	NA	turquoise
Tsubulata_004056	NA	turquoise
Tsubulata_004057	NA	turquoise
Tsubulata_004059	NA	turquoise
Tsubulata_004061	NA	turquoise
Tsubulata_004087	NA	turquoise
Tsubulata_004092	NA	turquoise
Tsubulata_004100	NA	turquoise
Tsubulata_004102	NA	turquoise
Tsubulata_004110	NA	turquoise
Tsubulata_004130	NA	turquoise
Tsubulata_004134	NA	turquoise
Tsubulata_004137	NA	turquoise
Tsubulata_004148	NA	turquoise
Tsubulata_004149	NA	turquoise
Tsubulata_004151	NA	turquoise
Tsubulata_004154	NA	turquoise
Tsubulata_004156	NA	turquoise
Tsubulata_004161	NA	turquoise
Tsubulata_004166	NA	turquoise
Tsubulata_004195	NA	turquoise
Tsubulata_004202	NA	turquoise
Tsubulata_004206	NA	turquoise
Tsubulata_004208	NA	turquoise
Tsubulata_004220	NA	turquoise
Tsubulata_004222	NA	turquoise
Tsubulata_004236	NA	turquoise
Tsubulata_004242	NA	turquoise
Tsubulata_004247	NA	turquoise
Tsubulata_004263	NA	turquoise
Tsubulata_004268	NA	turquoise
Tsubulata_004269	NA	turquoise
Tsubulata_004278	NA	turquoise
Tsubulata_004293	NA	turquoise
Tsubulata_004299	NA	turquoise
Tsubulata_004309	NA	turquoise
Tsubulata_004333	NA	turquoise
Tsubulata_004345	NA	turquoise
Tsubulata_004356	NA	magenta
Tsubulata_004366	NA	turquoise
Tsubulata_004387	NA	turquoise
Tsubulata_004392	NA	turquoise
Tsubulata_004396	NA	turquoise
Tsubulata_004397	NA	turquoise
Tsubulata_004403	NA	turquoise
Tsubulata_004412	NA	turquoise
Tsubulata_004418	NA	turquoise
Tsubulata_004445	NA	magenta
Tsubulata_004468	NA	turquoise
Tsubulata_004473	NA	turquoise
Tsubulata_004474	NA	magenta
Tsubulata_004481	NA	turquoise
Tsubulata_004501	NA	turquoise
Tsubulata_004502	NA	turquoise
Tsubulata_004510	NA	turquoise
Tsubulata_004526	NA	turquoise
Tsubulata_004533	NA	turquoise
Tsubulata_004559	NA	turquoise
Tsubulata_004586	NA	turquoise
Tsubulata_004613	NA	turquoise
Tsubulata_004625	NA	turquoise
Tsubulata_004628	NA	turquoise
Tsubulata_004631	NA	turquoise
Tsubulata_004639	NA	turquoise
Tsubulata_004667	NA	turquoise
Tsubulata_004673	NA	turquoise
Tsubulata_004681	NA	magenta
Tsubulata_004704	NA	turquoise
Tsubulata_004712	NA	turquoise
Tsubulata_004715	NA	turquoise
Tsubulata_004717	NA	turquoise
Tsubulata_004727	NA	turquoise
Tsubulata_004728	NA	turquoise
Tsubulata_004735	NA	turquoise
Tsubulata_004738	NA	turquoise
Tsubulata_004740	NA	turquoise
Tsubulata_004744	NA	turquoise
Tsubulata_004745	NA	turquoise
Tsubulata_004783	NA	turquoise
Tsubulata_004785	NA	turquoise
Tsubulata_004792	NA	turquoise
Tsubulata_004795	NA	turquoise
Tsubulata_004813	NA	turquoise
Tsubulata_004814	NA	turquoise
Tsubulata_004815	NA	turquoise
Tsubulata_004816	NA	turquoise
Tsubulata_004819	NA	turquoise
Tsubulata_004826	NA	turquoise
Tsubulata_004838	NA	turquoise
Tsubulata_004859	NA	turquoise
Tsubulata_004861	NA	magenta
Tsubulata_004866	NA	turquoise
Tsubulata_004876	NA	turquoise
Tsubulata_004878	NA	turquoise
Tsubulata_004879	NA	turquoise
Tsubulata_004921	NA	turquoise
Tsubulata_004928	NA	turquoise
Tsubulata_004943	NA	turquoise
Tsubulata_004944	NA	turquoise
Tsubulata_004956	NA	turquoise
Tsubulata_004957	NA	turquoise
Tsubulata_004962	NA	turquoise
Tsubulata_004965	NA	turquoise
Tsubulata_004970	NA	turquoise
Tsubulata_004972	NA	turquoise
Tsubulata_004996	NA	turquoise
Tsubulata_005002	NA	turquoise
