ID	2024 Tjoelii S-morph Mature Bud Average expression	2024 Tjoelii SC mutant (S) Mature Bud Average expression	2024 Tjoelii L-morph Mature Bud Average expression
Tsubulata_000375	0	0	0
Tsubulata_000376	0	0	0
Tsubulata_000377	0	0	0
Tsubulata_000378	0	0	0.034579
Tsubulata_000379	6.596852667	12.987813	8.669711
Tsubulata_000380	59.90380733	65.9320525	42.75107033
Tsubulata_000381	0	0	0
Tsubulata_000382	0	0	0
Tsubulata_000388	42.736369	46.2613125	36.54379267
Tsubulata_000390	10.03578033	1.4658995	5.163601
Tsubulata_000391	0	0	0
Tsubulata_000392	4.008237333	6.207382	3.947457667
Tsubulata_000393	31.51229233	35.6742575	23.92829133
Tsubulata_000397	2.077666667	2.851308	1.372820667
Tsubulata_000398	12.941635	13.442494	9.773459
Tsubulata_000400	6.102041	10.356215	6.238254333
Tsubulata_000401	0.018427333	0.278805	0
Tsubulata_000403	0.814422667	1.7787915	1.130447667
Tsubulata_000404	4.320902667	5.051816	4.796017333
Tsubulata_000407	1.093670333	0	0
Tsubulata_000408	0	0.0525345	0.270429667
Tsubulata_000410	0	0.129351	0
Tsubulata_000411	29.33537067	20.049494	31.910022
Tsubulata_000412	16.121194	18.4603245	17.01625533
Tsubulata_000413	0	0	0
Tsubulata_000414	71.91499833	105.4129945	64.49314
Tsubulata_000416	7.776657667	6.118211	1.786862
Tsubulata_000421	0	0.7812135	0
Tsubulata_000422	0	0.0948035	0
Tsubulata_000423	261.4372913	251.1087345	146.634852
Tsubulata_000424	9.652957333	13.8108565	6.864409
Tsubulata_000428	223.3733367	195.206123	163.9921007
Tsubulata_000431	6.147941667	10.5599595	3.553774
Tsubulata_000432	0	0.7007	0
Tsubulata_000433	0	0	0
Tsubulata_000434	0.517443667	0	0.456660333
Tsubulata_000439	0.150175333	0	0.020691
Tsubulata_000440	0	0	0
Tsubulata_000441	0	0	0
Tsubulata_000442	0	1.924078	0.381961667
Tsubulata_000443	36.00494033	52.5317705	53.92776967
Tsubulata_000444	0	0	0
Tsubulata_000445	15.90753333	25.016506	13.11447667
Tsubulata_000446	12.902297	16.4639045	11.50525833
Tsubulata_000449	16.66520767	21.796262	17.94435767
Tsubulata_000450	64.55057033	97.340416	67.28597633
Tsubulata_000451	17.11354633	15.830059	12.91966833
Tsubulata_000452	15.484096	17.0279605	29.67559633
Tsubulata_000454	0	0	0
Tsubulata_000455	0	0	0
Tsubulata_000456	0.032346333	0.056921	0
Tsubulata_000457	15.01902	7.9534855	10.81672433
Tsubulata_000458	23.59898033	29.868522	24.68765633
Tsubulata_000459	8.168717333	15.2129425	10.51356533
Tsubulata_000460	3.008685333	1.0864705	1.970058667
Tsubulata_000461	0	0	0
Tsubulata_000462	0	0	0
Tsubulata_000464	56.86696733	58.3878765	56.87433633
Tsubulata_000465	29.086212	32.0872545	25.45874833
Tsubulata_000469	0.316474333	0.056949	0.072559667
Tsubulata_000472	50.325934	40.2028085	61.72520567
Tsubulata_000473	0	0	0
Tsubulata_000475	34.52054733	129.875847	37.53215267
Tsubulata_000483	64.05757933	55.0973705	39.91174567
Tsubulata_000486	0.509101667	1.7701985	0.08323
Tsubulata_000490	0	0	0
Tsubulata_000494	44.02850867	42.4288805	30.85441267
Tsubulata_000495	29.56629633	22.0221415	26.05410767
