number	feature	id	pval	ScvWtSmorphqval
12036	gene	Tsubulata_020427	0.027777139077293	0.131972909097097
12037	gene	Tsubulata_020430	0.187617327919812	0.34821629926983
12038	gene	Tsubulata_020433	NA	NA
12039	gene	Tsubulata_020434	0.787696993096918	0.868680054836378
12040	gene	Tsubulata_020435	0.0889033432474413	0.226928083329957
12041	gene	Tsubulata_020437	0.0749687291695404	0.206336706119376
12042	gene	Tsubulata_020438	0.150600569054545	0.30405770580635
12043	gene	Tsubulata_020439	0.40244062590843	0.574066495556046
12044	gene	Tsubulata_020440	0.266285412670033	0.436566248486878
12045	gene	Tsubulata_020441	0.540393778909336	0.695270410476737
12046	gene	Tsubulata_020442	0.0778973451204764	0.210169111924964
12047	gene	Tsubulata_020443	0.522738982979825	0.680236787883932
12048	gene	Tsubulata_020444	0.00100541818573163	0.0504742691592899
12049	gene	Tsubulata_020445	0.0951881890693722	0.236129319365393
12050	gene	Tsubulata_020446	0.0625638786792768	0.187414567432251
12051	gene	Tsubulata_020447	0.119687970677237	0.270247911618958
12052	gene	Tsubulata_020448	0.224584539222942	0.390619874167707
12053	gene	Tsubulata_020449	NA	NA
12054	gene	Tsubulata_020452	NA	NA
12055	gene	Tsubulata_020453	0.848387160420998	0.910358026276195
12056	gene	Tsubulata_020456	0.0381992950973656	0.144611124552565
12057	gene	Tsubulata_020457	0.000909382512457757	0.0495503152579147
12058	gene	Tsubulata_020458	NA	NA
12059	gene	Tsubulata_020459	0.211923155205289	0.376094396969558
12060	gene	Tsubulata_020460	0.226357191986724	0.392729508012795
12061	gene	Tsubulata_020461	0.0207610076446181	0.117373299892153
12062	gene	Tsubulata_020462	0.109268483346338	0.255997641392274
12063	gene	Tsubulata_020463	0.022884741879115	0.121640334033842
12064	gene	Tsubulata_020464	0.0654500573597987	0.192458596659321
12065	gene	Tsubulata_020465	0.182936063960339	0.34266457782074
12066	gene	Tsubulata_020466	0.0691603428878016	0.197683096629549
12067	gene	Tsubulata_020468	0.0397807233519525	0.147560938964637
12068	gene	Tsubulata_020472	NA	NA
12069	gene	Tsubulata_020473	NA	NA
12070	gene	Tsubulata_020475	0.0083078432113084	0.0853199327469198
