nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_015587	NA	pink
Tsubulata_015590	NA	pink
Tsubulata_015596	NA	pink
Tsubulata_015597	NA	pink
Tsubulata_015601	NA	pink
Tsubulata_015603	NA	pink
Tsubulata_015606	NA	pink
Tsubulata_015658	NA	pink
Tsubulata_015700	NA	pink
Tsubulata_015713	NA	pink
Tsubulata_015718	NA	pink
Tsubulata_015783	NA	pink
Tsubulata_015798	NA	pink
Tsubulata_015811	NA	pink
Tsubulata_015848	NA	pink
Tsubulata_015867	NA	pink
Tsubulata_015895	NA	pink
Tsubulata_015904	NA	pink
Tsubulata_015919	NA	pink
Tsubulata_015982	NA	pink
Tsubulata_015984	NA	pink
Tsubulata_016020	NA	pink
Tsubulata_016100	NA	pink
Tsubulata_016102	NA	pink
Tsubulata_016105	NA	pink
Tsubulata_016115	NA	pink
Tsubulata_016174	NA	pink
Tsubulata_016181	NA	pink
Tsubulata_016223	NA	pink
Tsubulata_016244	NA	pink
Tsubulata_016454	NA	pink
Tsubulata_016457	NA	pink
Tsubulata_016461	NA	pink
Tsubulata_016475	NA	pink
Tsubulata_016482	NA	pink
Tsubulata_016489	NA	pink
Tsubulata_016496	NA	pink
Tsubulata_016509	NA	pink
Tsubulata_016530	NA	pink
Tsubulata_016531	NA	pink
Tsubulata_016533	NA	pink
Tsubulata_016538	NA	pink
Tsubulata_016539	NA	pink
Tsubulata_016544	NA	pink
Tsubulata_016576	NA	pink
Tsubulata_016619	NA	pink
Tsubulata_016662	NA	pink
Tsubulata_016689	NA	pink
Tsubulata_016777	NA	pink
Tsubulata_016786	NA	pink
Tsubulata_016811	NA	pink
Tsubulata_016834	NA	pink
Tsubulata_016851	NA	pink
Tsubulata_016859	NA	pink
Tsubulata_016868	NA	pink
Tsubulata_016913	NA	pink
Tsubulata_016944	NA	pink
Tsubulata_017027	NA	pink
Tsubulata_017029	NA	pink
Tsubulata_017032	NA	pink
Tsubulata_017046	NA	pink
Tsubulata_017071	NA	pink
Tsubulata_017078	NA	pink
Tsubulata_017189	NA	pink
Tsubulata_017205	NA	pink
Tsubulata_017238	NA	pink
Tsubulata_017247	NA	pink
Tsubulata_017248	NA	pink
Tsubulata_017270	NA	pink
Tsubulata_017272	NA	pink
Tsubulata_017323	NA	pink
Tsubulata_017364	NA	pink
Tsubulata_017383	NA	pink
Tsubulata_017391	NA	pink
Tsubulata_017401	NA	pink
Tsubulata_017402	NA	pink
Tsubulata_017404	NA	pink
Tsubulata_017405	NA	pink
Tsubulata_017409	NA	pink
Tsubulata_017420	NA	pink
Tsubulata_017461	NA	pink
Tsubulata_017510	NA	pink
Tsubulata_017514	NA	pink
Tsubulata_017570	NA	pink
Tsubulata_017573	NA	pink
Tsubulata_017584	NA	pink
Tsubulata_017600	NA	pink
Tsubulata_017664	NA	pink
Tsubulata_017665	NA	pink
Tsubulata_017710	NA	pink
Tsubulata_017720	NA	pink
Tsubulata_017749	NA	pink
Tsubulata_017820	NA	pink
Tsubulata_017823	NA	pink
Tsubulata_017854	NA	pink
Tsubulata_017914	NA	pink
Tsubulata_017939	NA	pink
Tsubulata_018018	NA	pink
Tsubulata_018022	NA	pink
Tsubulata_018063	NA	pink
Tsubulata_018074	NA	pink
Tsubulata_018080	NA	pink
Tsubulata_018088	NA	pink
Tsubulata_018100	NA	pink
Tsubulata_018129	NA	pink
Tsubulata_018175	NA	pink
Tsubulata_018198	NA	pink
Tsubulata_018237	NA	pink
Tsubulata_018239	NA	pink
Tsubulata_018241	NA	pink
Tsubulata_018317	NA	pink
Tsubulata_018367	NA	pink
Tsubulata_018382	NA	pink
Tsubulata_018397	NA	pink
Tsubulata_018405	NA	pink
Tsubulata_018407	NA	pink
Tsubulata_018463	NA	pink
Tsubulata_018468	NA	pink
Tsubulata_018478	NA	pink
Tsubulata_018531	NA	pink
Tsubulata_018552	NA	pink
Tsubulata_018556	NA	pink
Tsubulata_018566	NA	pink
Tsubulata_018571	NA	pink
Tsubulata_018572	NA	pink
Tsubulata_018612	NA	pink
Tsubulata_018639	NA	pink
Tsubulata_018661	NA	pink
Tsubulata_018669	NA	pink
Tsubulata_018677	NA	pink
Tsubulata_018711	NA	pink
Tsubulata_018714	NA	pink
Tsubulata_018717	NA	pink
Tsubulata_018727	NA	pink
Tsubulata_018755	NA	pink
Tsubulata_018843	NA	pink
Tsubulata_018867	NA	pink
Tsubulata_018890	NA	pink
Tsubulata_018931	NA	pink
Tsubulata_018932	NA	pink
Tsubulata_019046	NA	pink
Tsubulata_019118	NA	pink
Tsubulata_019131	NA	pink
Tsubulata_019163	NA	pink
Tsubulata_019222	NA	pink
Tsubulata_019226	NA	pink
Tsubulata_019231	NA	pink
Tsubulata_019271	NA	pink
Tsubulata_019275	NA	pink
Tsubulata_019285	NA	pink
Tsubulata_019288	NA	pink
Tsubulata_019304	NA	pink
Tsubulata_019309	NA	pink
Tsubulata_019313	NA	pink
Tsubulata_019348	NA	pink
Tsubulata_019372	NA	pink
Tsubulata_019415	NA	pink
Tsubulata_019419	NA	pink
Tsubulata_019472	NA	pink
Tsubulata_019541	NA	pink
Tsubulata_019547	NA	pink
Tsubulata_019550	NA	pink
Tsubulata_019589	NA	pink
Tsubulata_019593	NA	pink
Tsubulata_019722	NA	pink
Tsubulata_019735	NA	pink
Tsubulata_019766	NA	pink
Tsubulata_019798	NA	pink
Tsubulata_019801	NA	pink
Tsubulata_019828	NA	pink
Tsubulata_019835	NA	pink
Tsubulata_019847	NA	pink
Tsubulata_019848	NA	pink
Tsubulata_019850	NA	pink
Tsubulata_019869	NA	pink
Tsubulata_019911	NA	pink
Tsubulata_019927	NA	pink
Tsubulata_019928	NA	pink
Tsubulata_020004	NA	pink
Tsubulata_020005	NA	pink
Tsubulata_020012	NA	pink
Tsubulata_020031	NA	pink
Tsubulata_020051	NA	pink
Tsubulata_020126	NA	pink
Tsubulata_020147	NA	pink
Tsubulata_020150	NA	pink
Tsubulata_020156	NA	pink
Tsubulata_020165	NA	pink
Tsubulata_020182	NA	pink
Tsubulata_020222	NA	pink
Tsubulata_020235	NA	pink
Tsubulata_020247	NA	pink
Tsubulata_020307	NA	pink
Tsubulata_020308	NA	pink
Tsubulata_020337	NA	pink
Tsubulata_020348	NA	pink
Tsubulata_020441	NA	pink
Tsubulata_020461	NA	pink
Tsubulata_020465	NA	pink
Tsubulata_020476	NA	pink
Tsubulata_020499	NA	pink
Tsubulata_020565	NA	pink
Tsubulata_020576	NA	pink
Tsubulata_020651	NA	pink
Tsubulata_020680	NA	pink
Tsubulata_020688	NA	pink
Tsubulata_020694	NA	pink
Tsubulata_020712	NA	pink
Tsubulata_020721	NA	pink
Tsubulata_020740	NA	pink
Tsubulata_020744	NA	pink
Tsubulata_020816	NA	pink
Tsubulata_020823	NA	pink
Tsubulata_020828	NA	pink
Tsubulata_020871	NA	pink
Tsubulata_020902	NA	pink
Tsubulata_020921	NA	pink
Tsubulata_020953	NA	pink
Tsubulata_020969	NA	pink
Tsubulata_020970	NA	pink
Tsubulata_020975	NA	pink
Tsubulata_021036	NA	pink
Tsubulata_021042	NA	pink
Tsubulata_021070	NA	pink
Tsubulata_021175	NA	pink
Tsubulata_021204	NA	pink
Tsubulata_021211	NA	pink
Tsubulata_021240	NA	pink
Tsubulata_021261	NA	pink
Tsubulata_021266	NA	pink
Tsubulata_021300	NA	pink
Tsubulata_021307	NA	pink
Tsubulata_021311	NA	pink
Tsubulata_021326	NA	pink
Tsubulata_021328	NA	pink
Tsubulata_021385	NA	pink
Tsubulata_021392	NA	pink
Tsubulata_021397	NA	pink
Tsubulata_021430	NA	pink
Tsubulata_021432	NA	pink
Tsubulata_021456	NA	pink
Tsubulata_021467	NA	pink
Tsubulata_021504	NA	pink
Tsubulata_021512	NA	pink
Tsubulata_021513	NA	pink
Tsubulata_021528	NA	pink
Tsubulata_021552	NA	pink
Tsubulata_021561	NA	pink
Tsubulata_021563	NA	pink
Tsubulata_021564	NA	pink
Tsubulata_021615	NA	pink
Tsubulata_021616	NA	pink
Tsubulata_021635	NA	pink
Tsubulata_021637	NA	pink
Tsubulata_021639	NA	pink
Tsubulata_021672	NA	pink
Tsubulata_021677	NA	pink
