"feature"	"id"	"pval"	"qval"
"113"	"gene"	"gene-Tsubulata_000144"	0.0656593720190211	0.177679498516427
"114"	"gene"	"gene-Tsubulata_000145"	0.00188871957496928	0.0205593914421815
"115"	"gene"	"gene-Tsubulata_000146"	0.000437729013527899	0.010572115746123
"116"	"gene"	"gene-Tsubulata_000147"	0.00832025940369585	0.0470277482176004
"117"	"gene"	"gene-Tsubulata_000148"	NA	NA
"118"	"gene"	"gene-Tsubulata_000149"	0.0435302396039543	0.134537511876352
"119"	"gene"	"gene-Tsubulata_000151"	NA	NA
"120"	"gene"	"gene-Tsubulata_000152"	0.211592127499245	0.379583891912903
"121"	"gene"	"gene-Tsubulata_000156"	0.712016449107508	0.817275122595806
"122"	"gene"	"gene-Tsubulata_000157"	0.408750477866448	0.579647354081199
"123"	"gene"	"gene-Tsubulata_000162"	NA	NA
"124"	"gene"	"gene-Tsubulata_000163"	0.550329144376543	0.687837607029741
"125"	"gene"	"gene-Tsubulata_000165"	0.00681029617731665	0.0417337179366461
"126"	"gene"	"gene-Tsubulata_000166"	0.751257843751708	0.845644692132995
"127"	"gene"	"gene-Tsubulata_000170"	NA	NA
"128"	"gene"	"gene-Tsubulata_000173"	0.00183258490725158	0.0202747213302691
"129"	"gene"	"gene-Tsubulata_000175"	0.768584780999259	0.857783823938909
"130"	"gene"	"gene-Tsubulata_000177"	0.936273262426278	0.969128406258399
"131"	"gene"	"gene-Tsubulata_000179"	NA	NA
"132"	"gene"	"gene-Tsubulata_000180"	0.000281811009729127	0.00881774031039018
"133"	"gene"	"gene-Tsubulata_000185"	0.0111105790384554	0.0558700357309134
"134"	"gene"	"gene-Tsubulata_000188"	NA	NA
"135"	"gene"	"gene-Tsubulata_000189"	NA	NA
"136"	"gene"	"gene-Tsubulata_000195"	0.195181164224791	0.362040163405461
"137"	"gene"	"gene-Tsubulata_000197"	0.0715595644288565	0.188772456107531
"138"	"gene"	"gene-Tsubulata_000201"	0.158286419633288	0.320331740630586
"139"	"gene"	"gene-Tsubulata_000206"	0.327182694566587	0.503588641406669
"140"	"gene"	"gene-Tsubulata_000207"	NA	NA
"141"	"gene"	"gene-Tsubulata_000208"	0.225157716131666	0.396822728960424
"142"	"gene"	"gene-Tsubulata_000209"	0.124421320933461	0.27269927569776
"143"	"gene"	"gene-Tsubulata_000211"	0.360366301805165	0.537205372327631
"144"	"gene"	"gene-Tsubulata_000216"	0.032522859517116	0.110111309256592
"145"	"gene"	"gene-Tsubulata_000220"	0.0303210182651092	0.105292335085266
"146"	"gene"	"gene-Tsubulata_000221"	0.548055518828624	0.686769258214283
"147"	"gene"	"gene-Tsubulata_000222"	NA	NA
"148"	"gene"	"gene-Tsubulata_000224"	0.00542562475374075	0.0362700246611675
"149"	"gene"	"gene-Tsubulata_000225"	0.0889221422101237	0.217572804539336
"150"	"gene"	"gene-Tsubulata_000226"	0.0161534913052581	0.0702430598887018
"151"	"gene"	"gene-Tsubulata_000227"	0.0830465940336451	0.207380374760119
"152"	"gene"	"gene-Tsubulata_000232"	0.80263887588938	0.881859180796723
"153"	"gene"	"gene-Tsubulata_000235"	0.905945303965531	0.949972262428178
"154"	"gene"	"gene-Tsubulata_000238"	0.00150890649056212	0.0182848067445921
"155"	"gene"	"gene-Tsubulata_000239"	0.00292850129373212	0.0259116702341903
"156"	"gene"	"gene-Tsubulata_000241"	NA	NA
"157"	"gene"	"gene-Tsubulata_000243"	NA	NA
"158"	"gene"	"gene-Tsubulata_000248"	NA	NA
"159"	"gene"	"gene-Tsubulata_000250"	0.185710251368285	0.349827451674431
"160"	"gene"	"gene-Tsubulata_000252"	0.0878418544959438	0.215509324801742
"161"	"gene"	"gene-Tsubulata_000254"	0.000307729425528258	0.00903432441012812
"162"	"gene"	"gene-Tsubulata_000257"	0.121583936824676	0.268756395148935
"163"	"gene"	"gene-Tsubulata_000258"	0.938385809906193	0.970226875067737
"164"	"gene"	"gene-Tsubulata_000259"	0.0281837801193336	0.10051799360696
"165"	"gene"	"gene-Tsubulata_000261"	0.350502256833862	0.526657546138007
"166"	"gene"	"gene-Tsubulata_000263"	NA	NA
"167"	"gene"	"gene-Tsubulata_000266"	NA	NA
"168"	"gene"	"gene-Tsubulata_000267"	0.634145695614152	0.758369366475447
"169"	"gene"	"gene-Tsubulata_000268"	0.101873464917432	0.238516341135699
"170"	"gene"	"gene-Tsubulata_000269"	NA	NA
"171"	"gene"	"gene-Tsubulata_000270"	0.344025506149265	0.519871375625398
"172"	"gene"	"gene-Tsubulata_000271"	0.240137505937539	0.414579813429512
"173"	"gene"	"gene-Tsubulata_000273"	0.10177101377024	0.238409602489587
"174"	"gene"	"gene-Tsubulata_000278"	0.0312089914122011	0.107291783529909
"175"	"gene"	"gene-Tsubulata_000279"	0.00393360773172924	0.0301531552312008
"176"	"gene"	"gene-Tsubulata_000280"	0.0522444795268276	0.152488369858678
"177"	"gene"	"gene-Tsubulata_000281"	0.184714149345085	0.349827451674431
"178"	"gene"	"gene-Tsubulata_000283"	0.602182473476099	0.731919838471298
"179"	"gene"	"gene-Tsubulata_000284"	0.900942370133587	0.94712631139659
"180"	"gene"	"gene-Tsubulata_000285"	0.0829549317571102	0.207207514531376
"181"	"gene"	"gene-Tsubulata_000286"	NA	NA
"182"	"gene"	"gene-Tsubulata_000287"	NA	NA
"183"	"gene"	"gene-Tsubulata_000288"	NA	NA
"184"	"gene"	"gene-Tsubulata_000289"	0.549196479650343	0.686769258214283
"185"	"gene"	"gene-Tsubulata_000290"	0.0242838603208644	0.0913160265052199
"186"	"gene"	"gene-Tsubulata_000291"	0.399760042793753	0.571272633751073
"187"	"gene"	"gene-Tsubulata_000292"	0.365650383719812	0.53856029590933
"188"	"gene"	"gene-Tsubulata_000293"	0.123784753845794	0.271844079156005
"189"	"gene"	"gene-Tsubulata_000294"	0.885772334239024	0.937513566667688
"190"	"gene"	"gene-Tsubulata_000296"	NA	NA
"191"	"gene"	"gene-Tsubulata_000297"	0.0150821366398348	0.0674305635567279
"192"	"gene"	"gene-Tsubulata_000298"	0.00725729294113842	0.0432055937250108
"193"	"gene"	"gene-Tsubulata_000299"	NA	NA
"194"	"gene"	"gene-Tsubulata_000300"	0.120431313612242	0.26750604562058
"195"	"gene"	"gene-Tsubulata_000301"	0.000492986609361257	0.0111639738443021
"196"	"gene"	"gene-Tsubulata_000302"	0.935610198147123	0.968790486711266
"197"	"gene"	"gene-Tsubulata_000303"	8.16434896759866e-05	0.0052661285570037
"198"	"gene"	"gene-Tsubulata_000304"	0.759310100686505	0.851102868566107
"199"	"gene"	"gene-Tsubulata_000305"	0.000610769959996871	0.0121920734709572
"200"	"gene"	"gene-Tsubulata_000306"	NA	NA
"201"	"gene"	"gene-Tsubulata_000307"	0.727626283459393	0.829289844864777
"202"	"gene"	"gene-Tsubulata_000308"	0.0349008293466297	0.115611307672011
"203"	"gene"	"gene-Tsubulata_000310"	0.349652587683021	0.526011665718876
"204"	"gene"	"gene-Tsubulata_000314"	NA	NA
"205"	"gene"	"gene-Tsubulata_000316"	0.167275124062061	0.332173505810083
"206"	"gene"	"gene-Tsubulata_000317"	0.125928800111775	0.274762942491129
"207"	"gene"	"gene-Tsubulata_000319"	NA	NA
"208"	"gene"	"gene-Tsubulata_000321"	NA	NA
"209"	"gene"	"gene-Tsubulata_000322"	NA	NA
"210"	"gene"	"gene-Tsubulata_000323"	0.102520078992241	0.239580734390845
"211"	"gene"	"gene-Tsubulata_000325"	0.00168635449386856	0.0194245800051981
"212"	"gene"	"gene-Tsubulata_000328"	0.805922805446989	0.883879973496766
"213"	"gene"	"gene-Tsubulata_000329"	0.262780440781732	0.44008061675573
"214"	"gene"	"gene-Tsubulata_000330"	NA	NA
"215"	"gene"	"gene-Tsubulata_000331"	0.10169100398097	0.238302057618719
"216"	"gene"	"gene-Tsubulata_000332"	0.784499621014495	0.868930631106244
"217"	"gene"	"gene-Tsubulata_000333"	0.121034382661208	0.268058868965986
"218"	"gene"	"gene-Tsubulata_000334"	NA	NA
"219"	"gene"	"gene-Tsubulata_000335"	NA	NA
"220"	"gene"	"gene-Tsubulata_000336"	0.701908582987198	0.81010854072581
"221"	"gene"	"gene-Tsubulata_000337"	0.422753095480298	0.586965752278229
