nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_004600	NA	blue
Tsubulata_004605	NA	blue
Tsubulata_004607	NA	blue
Tsubulata_004616	NA	blue
Tsubulata_004647	NA	blue
Tsubulata_004679	NA	blue
Tsubulata_004685	NA	blue
Tsubulata_004686	NA	blue
Tsubulata_004734	NA	blue
Tsubulata_004747	NA	blue
Tsubulata_004786	NA	blue
Tsubulata_004794	NA	blue
Tsubulata_004850	NA	blue
Tsubulata_004851	NA	blue
Tsubulata_004856	NA	blue
Tsubulata_004862	NA	blue
Tsubulata_004881	NA	blue
Tsubulata_004906	NA	blue
Tsubulata_004907	NA	blue
Tsubulata_004913	NA	blue
Tsubulata_004938	NA	blue
Tsubulata_004945	NA	blue
Tsubulata_004961	NA	blue
Tsubulata_004973	NA	blue
Tsubulata_005009	NA	blue
Tsubulata_005014	NA	blue
Tsubulata_005017	NA	blue
Tsubulata_005030	NA	blue
Tsubulata_005032	NA	blue
Tsubulata_005055	NA	blue
Tsubulata_005084	NA	blue
Tsubulata_005092	NA	blue
Tsubulata_005142	NA	blue
Tsubulata_005173	NA	blue
Tsubulata_005184	NA	blue
Tsubulata_005268	NA	blue
Tsubulata_005402	NA	blue
Tsubulata_005415	NA	blue
Tsubulata_005428	NA	blue
Tsubulata_005434	NA	blue
Tsubulata_005482	NA	blue
Tsubulata_005500	NA	blue
Tsubulata_005560	NA	blue
Tsubulata_005562	NA	blue
Tsubulata_005593	NA	blue
Tsubulata_005617	NA	blue
Tsubulata_005647	NA	blue
Tsubulata_005649	NA	blue
Tsubulata_005659	NA	blue
Tsubulata_005667	NA	blue
Tsubulata_005670	NA	blue
Tsubulata_005681	NA	blue
Tsubulata_005717	NA	blue
Tsubulata_005732	NA	blue
Tsubulata_005743	NA	blue
Tsubulata_005772	NA	blue
Tsubulata_005783	NA	blue
Tsubulata_005786	NA	blue
Tsubulata_005808	NA	blue
Tsubulata_005810	NA	blue
Tsubulata_005813	NA	blue
Tsubulata_005859	NA	blue
Tsubulata_005876	NA	blue
Tsubulata_005908	NA	blue
Tsubulata_005925	NA	blue
Tsubulata_005934	NA	blue
Tsubulata_005936	NA	blue
Tsubulata_005948	NA	blue
Tsubulata_006032	NA	blue
Tsubulata_006033	NA	blue
Tsubulata_006034	NA	blue
Tsubulata_006040	NA	blue
